127.10733032226562,238.74978637695312
128.4854278564453,232.51364135742188
130.7825164794922,221.42515563964844
133.07992553710938,210.3351593017578
134.22872924804688,208.2588348388672
136.52659606933594,200.6362762451172
139.0546112060547,193.0136260986328
139.97398376464844,190.24147033691406
142.04275512695312,184.6975555419922
144.5716094970703,181.23683166503906
145.2613525390625,181.23936462402344
147.33078002929688,179.1646270751953
147.33078002929688,179.1646270751953
149.86041259765625,179.1737823486328
